mean_score,median_score,std_score,var_score,min_score,max_score,ip_count,is_non_csnp,is_artefact
0.0976145,0.044520017,0.10581889,0.011197637,0.0050146487,0.42790174,216,False,True
0.08270336,0.036257297,0.10269289,0.010545828,0.0050765565,0.5724073,232,False,False
0.091126405,0.043776307,0.10767335,0.0115935495,0.005203851,0.58009243,234,False,False
0.085737236,0.04430468,0.10108592,0.010218364,0.005067769,0.6343775,235,False,False
0.085559756,0.033999145,0.10907816,0.0118980445,0.0050356295,0.6337648,252,False,True
0.09486125,0.05333338,0.106450416,0.011331691,0.0050231335,0.5183189,224,False,False
0.08026297,0.036279976,0.093985215,0.00883322,0.0050144196,0.41174844,224,False,False
0.08181682,0.037689336,0.10437663,0.01089448,0.0050614453,0.62828666,218,False,False
0.08009434,0.028080318,0.10381527,0.01077761,0.0051298924,0.52152497,218,False,False
0.07678839,0.030148555,0.093443625,0.008731712,0.0050011342,0.43727955,216,False,False
0.07660822,0.03961594,0.09061282,0.008210683,0.005012477,0.45284683,214,False,False
0.08517571,0.036333986,0.1059903,0.011233943,0.005001004,0.6866789,232,False,False
0.077345446,0.03655763,0.088217705,0.007782364,0.005089492,0.4101238,219,False,False
0.08389003,0.03703525,0.10065103,0.010130631,0.005036095,0.58168256,220,False,False
0.084082015,0.03185607,0.102787554,0.010565282,0.0050473707,0.45256045,213,False,False
0.07956853,0.03542154,0.09110025,0.008299257,0.005119496,0.46199304,221,False,False
0.08011348,0.041362368,0.084725074,0.007178338,0.005274731,0.34978306,205,False,False
0.07940203,0.039786547,0.08617472,0.0074260826,0.005052773,0.35622302,209,False,False
0.086555034,0.040829472,0.09770867,0.009546985,0.0051988643,0.46451795,234,False,False
0.0878245,0.040176332,0.09637887,0.009288887,0.0050562574,0.42451036,218,False,False
0.08177922,0.04000297,0.097682446,0.009541861,0.0050801057,0.6891987,205,False,False
0.07538183,0.033918284,0.0840035,0.0070565883,0.005270333,0.3698859,215,False,False
0.09210525,0.048235,0.103832856,0.010781262,0.0050673457,0.49847668,203,False,False
0.08473315,0.041415602,0.09676979,0.009364392,0.0050230874,0.4925014,213,False,False
0.07947464,0.03039753,0.102249146,0.0104548875,0.005089019,0.7357873,201,False,False
0.08717837,0.032668125,0.10518831,0.011064581,0.005145777,0.483346,216,False,False
