mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,ip_count
0.11644042,0.06070062,0.13043869,0.017014252,0.005021844,0.57989943,1.4106180333754779,1.3686566423294737,240
0.12991636,0.08843932,0.13000312,0.016900813,0.005038194,0.5413506,1.0576132938727563,0.30462861682102504,227
0.1214142,0.06677428,0.12697493,0.016122632,0.0050449125,0.53419286,1.0022218814532913,-0.06236284024578387,238
0.13289152,0.06752747,0.1432764,0.020528123,0.005094995,0.5488805,1.058253242912083,-0.03401122048519589,226
0.11284713,0.050869286,0.12210927,0.014910674,0.005130607,0.5101786,1.17257467129136,0.406769768953676,235
0.12902193,0.0878776,0.13107266,0.01718004,0.005014338,0.5950403,1.012836699573699,0.16328965980748755,217
0.11832547,0.05406833,0.1331216,0.01772136,0.0050424817,0.49837273,1.210486764369166,0.4039272344455873,231
0.12196195,0.062014446,0.13137017,0.017258123,0.0050235703,0.5747074,1.2183327202318894,0.6030856799660751,215
0.11398075,0.060197495,0.1213368,0.01472262,0.0050350768,0.53006935,1.3010276503713714,1.060279965433077,227
0.11743831,0.058948237,0.12574711,0.015812337,0.005031185,0.60620546,1.132285345007305,0.4846971189493714,239
0.12424311,0.065793306,0.13054565,0.017042166,0.0053302567,0.57113075,1.1289982272008037,0.4074298035590789,228
0.121543966,0.058404624,0.13049424,0.017028747,0.005050476,0.51717263,1.1808105430731741,0.4562437980634835,231
0.11552685,0.05837352,0.12669681,0.01605208,0.005031926,0.51938933,1.1980097383823458,0.3936775990998189,245
0.12608379,0.075326435,0.13233921,0.017513668,0.005095207,0.56639105,1.1284071125856459,0.4976159984006725,238
0.11936054,0.06995716,0.12212551,0.014914639,0.0051278532,0.625607,1.2100968379193273,0.9654425751327138,233
0.12763461,0.077540785,0.13275209,0.017623119,0.005071675,0.556412,1.1342937490255756,0.4426537834361457,227
0.11694193,0.07849741,0.12261081,0.01503341,0.00513661,0.5557712,1.252859028924112,0.9369655683675968,237
0.118834905,0.058540165,0.1298812,0.016869128,0.0050044386,0.58017874,1.2548163066629339,0.8387427264679204,254
0.119128644,0.06727651,0.1256113,0.015778199,0.0050402894,0.55045825,1.1334852506745825,0.3507348798141132,237
0.1224656,0.0702471,0.1273242,0.01621145,0.005051005,0.49632657,1.0163188131191294,-0.06774099464940209,241
0.11459836,0.057067126,0.119171605,0.014201872,0.0051706866,0.49014556,0.9801565790059801,-0.2902660142353617,278
0.12144573,0.054050043,0.13356197,0.0178388,0.005008581,0.5147015,1.1088003644749767,0.09060610332134367,234
0.11278995,0.055489067,0.122353315,0.014970334,0.0050021317,0.5249448,1.1069747010489108,0.28567734229549036,239
0.12119974,0.0559171,0.1286265,0.016544774,0.005028121,0.6022887,1.0541369369593843,0.22708771355464208,236
0.11893385,0.069007695,0.12990229,0.016874606,0.0050075403,0.5695016,1.2958702264541944,0.9812685352411594,235
0.111653976,0.068102024,0.1208988,0.01461652,0.0050214296,0.6043071,1.3441761827039278,1.3144994851000789,233
0.12743115,0.073869504,0.12938586,0.016740702,0.005114339,0.5169591,1.0003511716194908,-0.08734708835878413,244
0.11511238,0.052115284,0.12902851,0.016648356,0.005017,0.5633196,1.319714355244058,0.9559416350223477,256
0.13537753,0.06868018,0.14403813,0.020746984,0.00516561,0.60513264,1.1143509514207373,0.31120453631175415,227
0.12962772,0.06759161,0.1363745,0.018598007,0.005069012,0.5496622,1.1101147273619811,0.26641522061154,222
0.118914366,0.06636961,0.12798163,0.016379299,0.0050844136,0.6046213,1.3075584956324167,1.2076777315468208,230
0.10910218,0.05650887,0.119785,0.014348446,0.00500608,0.49750224,1.2167649535937142,0.5405883810030985,237
