mean_score,median_score,std_score,var_score,min_score,max_score,ip_count,is_non_csnp,is_artefact
0.11998447,0.06645346,0.12799463,0.016382625,0.0050263326,0.5717691,301,False,False
0.1197222,0.069573104,0.13037765,0.01699833,0.005231416,0.7035481,335,False,False
0.13072538,0.07136355,0.14073168,0.019805405,0.0050969413,0.61166656,307,False,False
0.12202064,0.06364526,0.12772916,0.016314737,0.005080731,0.56396246,288,False,False
0.13456483,0.08836428,0.13426088,0.018025983,0.0050109383,0.65351146,242,False,False
0.12450414,0.05965592,0.13608557,0.01851928,0.0051475433,0.6035334,274,False,True
0.13804403,0.08391952,0.1401839,0.019651523,0.005043179,0.65315294,294,False,False
0.12988877,0.06948406,0.13805977,0.0190605,0.005058211,0.6811162,293,False,False
0.1261218,0.0728433,0.1269756,0.016122801,0.005198695,0.59780985,276,False,False
0.12926912,0.091524236,0.130619,0.017061325,0.0050394568,0.58494633,279,False,False
0.111883275,0.05944625,0.12446201,0.015490792,0.0050330386,0.5891924,277,False,False
0.11914417,0.060549136,0.12955585,0.016784718,0.005046954,0.52636254,273,False,False
0.1277431,0.06506302,0.13505785,0.018240623,0.0050814487,0.5850038,281,False,False
0.13981327,0.06789444,0.14939345,0.022318404,0.005014218,0.6246959,267,False,False
0.13452075,0.080288015,0.14456487,0.020899002,0.005105865,0.59121025,256,False,False
0.118323036,0.056908447,0.13321017,0.017744947,0.0052412865,0.67855066,266,False,False
0.12975952,0.057306126,0.14034377,0.019696375,0.005058732,0.6078693,288,False,False
0.13127728,0.07850227,0.13409199,0.017980663,0.0050074207,0.58823586,273,False,False
0.10694365,0.049082477,0.12302426,0.01513497,0.005068783,0.64649624,277,False,False
0.1246478,0.080872685,0.1231166,0.015157696,0.0050060395,0.5524703,269,False,False
0.11957712,0.05742211,0.13199593,0.017422928,0.0051437784,0.69254273,293,False,False
0.13317586,0.08408852,0.13359936,0.017848786,0.0050574797,0.57370114,273,False,False
0.14397869,0.08756359,0.14430211,0.020823102,0.0050270613,0.5988909,261,False,False
0.13880712,0.09779626,0.13920175,0.019377125,0.0052857557,0.69361514,281,False,False
0.1281646,0.067473605,0.13513969,0.018262736,0.005170617,0.54389197,264,False,False
0.1076106,0.05189123,0.12600546,0.015877375,0.0050061555,0.64498127,271,False,False
0.10719859,0.0598896,0.116693944,0.013617476,0.005039422,0.58754355,338,False,False
0.11919488,0.056010365,0.1346749,0.018137332,0.0050034435,0.5822979,269,False,False
0.13630426,0.07753723,0.1384977,0.019181613,0.0050130035,0.54684836,243,False,False
0.122987054,0.066321336,0.1283983,0.016486125,0.0050818515,0.5480804,249,False,False
0.12940608,0.060217496,0.1378012,0.018989172,0.00500021,0.5466932,241,False,False
0.12522885,0.07444461,0.12594464,0.015862055,0.0050240546,0.50707906,281,False,False
0.13460623,0.073000684,0.14373443,0.020659586,0.005086645,0.56487626,281,False,False
0.13879384,0.07507553,0.14340088,0.020563813,0.0050302516,0.62113583,287,False,False
0.1278581,0.06390726,0.1399016,0.019572455,0.0050067515,0.6075884,266,False,False
0.1309933,0.059224598,0.14688559,0.021575378,0.0050024274,0.5787576,288,False,False
0.14043975,0.07137774,0.15627545,0.024422016,0.0050480138,0.69225436,239,False,False
0.13893846,0.08237666,0.14315352,0.020492928,0.0050489474,0.5998053,260,False,False
0.13154411,0.052260395,0.14077097,0.019816468,0.0050154827,0.6238192,276,False,False
0.12290464,0.06066544,0.12866507,0.0165547,0.005007781,0.50456244,266,False,False
0.12619308,0.06552846,0.12825711,0.016449885,0.0050066174,0.538209,250,False,False
0.11647185,0.049940288,0.13321075,0.017745102,0.00515357,0.5606006,270,False,False
0.12787595,0.08016528,0.13030867,0.01698035,0.0050170547,0.54119384,283,False,False
0.12146751,0.071158126,0.12949523,0.016769014,0.00503595,0.59465384,291,False,False
0.13184181,0.07789907,0.13241333,0.01753329,0.00506864,0.63192856,291,False,False
0.12585932,0.073250376,0.13299744,0.017688317,0.005066885,0.6085763,307,False,False
0.12703629,0.07394923,0.1336131,0.01785246,0.005065051,0.51797634,268,False,False
