,index,mean_score,median_score,std_score,var_score,min_score,max_score,ip_count
0,0,0.077067174,0.033648662,0.09574588,0.0091672735,0.00506434,0.44096246,191
1,1,0.081700064,0.031662926,0.096817754,0.009373677,0.005074316,0.40204144,171
2,2,0.08053639,0.035932347,0.095541805,0.009128237,0.0050400537,0.37189913,155
3,3,0.08045695,0.03462013,0.09982647,0.009965325,0.0050333263,0.4702312,188
4,4,0.077803664,0.027295528,0.10171761,0.010346473,0.00506038,0.41766605,175
5,5,0.09619488,0.033621803,0.11525131,0.013282864,0.0050548334,0.45013335,177
6,6,0.087735094,0.041181125,0.098185845,0.009640461,0.0053492603,0.4053176,169
7,7,0.07924157,0.031892624,0.09379663,0.008797809,0.005252091,0.47157633,184
8,8,0.08957994,0.035266064,0.106322005,0.011304369,0.005147556,0.48319548,172
9,9,0.08961363,0.034958266,0.10933047,0.011953151,0.005016462,0.53701013,174
10,10,0.088838115,0.03211225,0.109402224,0.011968847,0.0051184655,0.57990974,171
11,11,0.08791748,0.026913434,0.108887166,0.011856415,0.0050000586,0.41019478,169
12,12,0.101206325,0.040751606,0.112648875,0.012689769,0.005024188,0.43170285,168
13,13,0.08579972,0.032760352,0.09948157,0.009896582,0.005044004,0.43271938,194
14,14,0.09336569,0.033377867,0.11561989,0.013367958,0.0050188145,0.58671623,166
15,15,0.0782613,0.032300927,0.098732814,0.009748169,0.0052864826,0.5047502,196
16,16,0.09433694,0.04434876,0.10948752,0.011987517,0.0050249947,0.55073583,180
17,17,0.09285357,0.047394585,0.1159695,0.013448926,0.0050898385,0.5731996,171
18,18,0.08576437,0.039668344,0.09790317,0.009585031,0.0052242097,0.47847608,190
19,19,0.08303153,0.033482194,0.09797041,0.009598202,0.0050911563,0.41848767,187
20,20,0.08816642,0.04380631,0.1054824,0.011126536,0.005016743,0.42185977,176
21,21,0.08399992,0.035757884,0.101710886,0.010345104,0.0050096055,0.4595957,176
22,22,0.091204636,0.039761476,0.104736105,0.010969652,0.0050468417,0.5015842,182
23,23,0.08108423,0.029735984,0.102591425,0.010525001,0.005037469,0.5062414,205
24,24,0.09254649,0.042486887,0.1048977,0.011003527,0.005031954,0.4324933,189
25,25,0.10503415,0.057260137,0.11064777,0.012242928,0.0050503947,0.51506126,192
26,26,0.09817883,0.042943843,0.119065575,0.014176611,0.005187152,0.49103776,201
27,27,0.091305204,0.041487638,0.10549848,0.011129929,0.0051701833,0.46363407,179
28,28,0.07675541,0.03026326,0.09956288,0.009912768,0.005073971,0.4622002,208
29,29,0.083992235,0.035421375,0.09817,0.009637348,0.005012469,0.42287877,189
30,30,0.085501,0.03475162,0.10219537,0.010443893,0.005000984,0.54040545,202
31,31,0.092124306,0.036781266,0.112150155,0.012577657,0.0051511936,0.58567995,190
32,32,0.08111931,0.038341485,0.09318793,0.00868399,0.0050264,0.44511372,187
33,33,0.07540294,0.03362993,0.09265585,0.0085851075,0.0050400444,0.49401343,195
34,34,0.080602065,0.03689466,0.09968456,0.009937011,0.0052137743,0.52357394,181
35,35,0.08964697,0.04379622,0.10757848,0.011573129,0.00504148,0.43117726,174
36,36,0.0817815,0.039915793,0.09805343,0.009614475,0.0050620073,0.50731367,186
37,37,0.08409079,0.038551666,0.09980637,0.009961311,0.0050514336,0.50659543,177
