,index,mean_score,median_score,std_score,var_score,min_score,max_score,valid_count,transform_inlier_ratio
0,0,0.0038163573,1.2459145e-07,0.03746122,0.0014033432,0.0,0.9947908,34,0.23529411764705882
1,1,0.0039804038,2.990316e-09,0.04413138,0.0019475786,0.0,0.9987415,73,0.6027397260273972
2,2,0.0039456976,1.3797821e-09,0.042725515,0.0018254695,2e-42,0.99848676,64,0.75
3,3,0.0037729873,6.095572e-10,0.044319145,0.0019641868,0.0,0.9945095,80,0.5
4,4,0.0033029988,6.454677e-08,0.031467974,0.0009902334,3e-45,0.9844908,16,0.4375
5,5,0.0040245126,1.3551186e-08,0.044332795,0.0019653966,0.0,0.9974678,58,0.3448275862068966
6,6,0.0041621355,5.6117777e-10,0.053732798,0.0028872134,0.0,0.9990697,121,0.4214876033057851
7,7,0.0042296513,1.7490991e-09,0.053020008,0.002811121,0.0,0.999531,112,0.44642857142857145
8,8,0.004305519,1.8927995e-09,0.053885587,0.0029036563,0.0,0.9991311,114,0.5263157894736842
9,9,0.00431613,7.01748e-09,0.046392493,0.0021522634,0.0,0.99893296,73,0.6027397260273972
10,10,0.004121875,1.266101e-09,0.052570432,0.0027636504,0.0,0.9987225,116,0.6120689655172413
11,11,0.0041526943,1.2158441e-09,0.053452697,0.0028571908,0.0,0.9999075,120,0.775
12,12,0.00418268,3.203931e-09,0.05003835,0.0025038365,0.0,0.99877244,89,0.797752808988764
13,13,0.0042260075,1.4538797e-09,0.05176055,0.0026791547,0.0,0.9994628,98,0.7959183673469388
14,14,0.004212225,1.0733302e-08,0.050051693,0.0025051718,0.0,0.99571675,89,0.797752808988764
15,15,0.0042778985,9.638278e-09,0.052298173,0.0027350988,0.0,0.9979855,105,0.780952380952381
16,16,0.004407772,1.0173043e-08,0.04982249,0.0024822806,0.0,0.9977409,76,0.631578947368421
17,17,0.004109497,1.48962584e-08,0.04616204,0.0021309338,0.0,0.9977519,73,0.6575342465753424
18,18,0.0040808492,4.0054555e-09,0.04999789,0.002499789,0.0,0.9977309,98,0.7448979591836735
19,19,0.004294433,1.755431e-08,0.04919839,0.0024204815,0.0,0.9977624,78,0.782051282051282
20,20,0.0043245405,6.66526e-09,0.05196172,0.0027000203,0.0,0.9987996,95,0.6736842105263158
21,21,0.0044050235,3.2247753e-09,0.05242495,0.002748375,0.0,0.9983562,100,0.55
22,22,0.0043973727,9.32714e-09,0.054043457,0.002920695,0.0,0.9963351,107,0.7663551401869159
23,23,0.004432893,1.2370336e-09,0.05273172,0.002780634,0.0,0.9985086,95,0.6631578947368421
24,24,0.004431454,6.453886e-09,0.04637867,0.0021509808,0.0,0.9964672,61,0.7540983606557377
25,25,0.0043506296,3.5697482e-08,0.04439882,0.001971255,1.005929e-39,0.99720436,53,0.4716981132075472
26,26,0.004536843,9.6795e-09,0.04736867,0.002243791,0.0,0.9991387,58,0.39655172413793105
27,27,0.004539779,7.527367e-09,0.047777545,0.0022826937,0.0,0.9992502,61,0.36065573770491804
28,28,0.0044828053,2.9138312e-09,0.051409278,0.002642914,0.0,0.9980764,76,0.631578947368421
29,29,0.004381317,3.197179e-09,0.050141573,0.0025141775,0.0,0.9992903,74,0.35135135135135137
30,30,0.0046189926,3.4526653e-09,0.053057026,0.002815048,0.0,0.99848,88,0.36363636363636365
31,31,0.0044213994,2.712572e-09,0.054949086,0.0030194023,0.0,0.99846095,110,0.5636363636363636
32,32,0.0043887165,1.097046e-09,0.049649972,0.0024651198,0.0,0.99787945,80,0.8
33,33,0.00427665,2.5229734e-09,0.051557455,0.002658171,0.0,0.9988106,89,0.7528089887640449
34,34,0.004229817,1.9583098e-08,0.047104802,0.0022188623,0.0,0.99931264,78,0.47435897435897434
35,35,0.004208672,1.2722496e-09,0.047748517,0.002279921,0.0,0.9997349,76,0.2894736842105263
36,36,0.0041130846,4.401831e-09,0.046478465,0.0021602476,0.0,0.99935263,72,0.4861111111111111
37,37,0.0043661227,3.4338625e-09,0.05140167,0.0026421316,0.0,0.99897724,87,0.4482758620689655
38,38,0.004116898,1.8421936e-08,0.04002227,0.0016017819,0.0,0.9967556,34,0.4411764705882353
39,39,0.004165142,6.686614e-09,0.05027678,0.0025277543,0.0,0.9988887,94,0.48936170212765956
40,40,0.004167111,2.2660682e-08,0.040017135,0.0016013711,3e-45,0.99775994,41,0.7073170731707317
41,41,0.004181499,3.1999377e-08,0.047213227,0.002229089,0.0,0.9992345,73,0.3424657534246575
