mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,mean_score_log,median_score_log,std_score_log,var_score_log,min_score_log,max_score_log,skew_score_log,kurtosis_score_log,transform_inlier_ratio,valid_count
0.0038163573,1.2459145e-07,0.03746122,0.0014033432,0.0,0.9947908,17.014131719317927,343.5575030918388,-18.794275,-15.898226,13.933027,194.12926,-198.07436,-0.0052227974,-4.281280489172891,33.49544858698477,0.23529411764705882,34
0.0039804038,2.990316e-09,0.04413138,0.0019475786,0.0,0.9987415,17.00537696475817,324.36495678312974,-21.539085,-19.627888,12.186018,148.49902,-105.15786,-0.0012593269,-1.6033359648060068,4.791770563566016,0.6027397260273972,73
0.0039456976,1.3797821e-09,0.042725515,0.0018254695,2e-42,0.99848676,17.17136985078333,336.2706839475081,-21.874777,-20.40134,11.401788,130.00076,-96.015625,-0.0015144348,-0.9412948752279289,1.6452968068900988,0.75,64
0.0037729873,6.095572e-10,0.044319145,0.0019641868,0.0,0.9945095,17.395431644629436,335.6944321894204,-22.831053,-21.218288,12.082565,145.98839,-116.41457,-0.005505562,-1.206963834504029,3.039570523811933,0.5,80
0.0033029988,6.454677e-08,0.031467974,0.0009902334,3e-45,0.9844908,17.456882049642793,374.7164377705831,-19.13522,-16.555876,11.208859,125.638535,-102.782265,-0.015630722,-1.0985752302581535,1.3839804349771745,0.4375,16
0.0040245126,1.3551186e-08,0.044332795,0.0019653966,0.0,0.9974678,16.454018580201648,303.77965823484817,-19.787857,-18.11679,10.547769,111.25543,-106.34378,-0.0025353432,-1.4935540989685532,4.466421451775191,0.3448275862068966,58
0.0041621355,5.6117777e-10,0.053732798,0.0028872134,0.0,0.9990697,15.813442857110463,260.90414476639245,-24.552666,-21.300983,15.016771,225.50343,-187.87875,-0.00093078613,-2.1958601715850765,8.051513028271872,0.4214876033057851,121
0.0042296513,1.7490991e-09,0.053020008,0.002811121,0.0,0.999531,15.723271856605875,260.53804860295736,-25.908298,-20.164165,26.115137,682.00037,-273.53622,-0.00046920776,-4.702959739627355,26.930687406512835,0.44642857142857145,112
0.004305519,1.8927995e-09,0.053885587,0.0029036563,0.0,0.9991311,15.47619290272556,251.1376091372862,-25.717957,-20.085209,23.308916,543.3056,-299.88654,-0.00086927414,-4.39023129292549,26.797065689069694,0.5263157894736842,114
0.00431613,7.01748e-09,0.046392493,0.0021522634,0.0,0.99893296,16.2928573609331,293.0869675625428,-22.270233,-18.774862,15.969881,255.03711,-226.19853,-0.0010676384,-2.8003670054652856,12.977274634262278,0.6027397260273972,73
