,index,mean_score,median_score,std_score,var_score,min_score,max_score,valid_count,transform_inlier_ratio
0,0,0.0049266447,4.455205e-09,0.045634307,0.00208249,0.0,0.99691963,38,0.34210526315789475
1,1,0.005604321,4.847124e-09,0.0538093,0.0028954407,0.0,0.99932784,58,0.4827586206896552
2,2,0.0050876355,1.5375289e-08,0.051467903,0.002648945,0.0,0.9979679,51,0.6274509803921569
3,3,0.0050236722,9.691394e-09,0.049756303,0.0024756896,0.0,0.9963835,53,0.7547169811320755
4,4,0.005188422,6.484845e-09,0.053857815,0.002900664,0.0,0.9993155,64,0.65625
5,5,0.0052727256,6.6841017e-09,0.05240415,0.002746195,0.0,0.98961824,55,0.6
6,6,0.005067226,6.095652e-09,0.05584696,0.003118883,0.0,0.9957153,79,0.6835443037974683
7,7,0.0051090512,1.5326693e-09,0.05447327,0.0029673371,0.0,0.9984677,68,0.7058823529411765
8,8,0.0052423286,8.847849e-09,0.050915882,0.0025924272,0.0,0.99877626,53,0.6037735849056604
9,9,0.005193743,3.2635072e-09,0.059034027,0.0034850163,0.0,0.99802125,87,0.7586206896551724
10,10,0.005277515,1.5447784e-09,0.050753735,0.0025759416,0.0,0.9996677,47,0.7021276595744681
11,11,0.0054257195,3.5364924e-09,0.052721612,0.0027795685,0.0,0.99516094,54,0.6296296296296297
12,12,0.004998368,1.4410815e-09,0.05083506,0.0025842034,0.0,0.9957395,54,0.6666666666666666
13,13,0.0049527013,5.9980847e-09,0.04760632,0.0022663616,7.983227e-38,0.995449,41,0.7073170731707317
14,14,0.0049719075,5.6790106e-10,0.049849495,0.0024849724,0.0,0.9952069,46,0.7608695652173914
15,15,0.0048804656,2.072084e-09,0.051693056,0.002672172,0.0,0.99608433,69,0.7681159420289855
16,16,0.005236027,3.4453188e-10,0.052180324,0.002722786,0.0,0.99877906,54,0.6296296296296297
17,17,0.0050345724,1.1848533e-09,0.052703504,0.0027776593,0.0,0.99701136,63,0.7936507936507936
18,18,0.004937293,6.362453e-10,0.053227592,0.0028331766,0.0,0.9981963,68,0.7941176470588235
19,19,0.0050418796,1.116964e-09,0.04861457,0.0023633763,0.0,0.9994137,49,0.6530612244897959
20,20,0.0052370434,1.3635924e-09,0.056662276,0.0032106135,0.0,0.9985853,77,0.7662337662337663
21,21,0.00517701,1.6108008e-09,0.057451263,0.0033006475,0.0,0.999264,87,0.632183908045977
22,22,0.004753217,4.6391868e-10,0.05554125,0.0030848307,0.0,0.9986757,93,0.7096774193548387
23,23,0.004608454,1.8984216e-09,0.05041414,0.0025415856,0.0,0.9953773,74,0.4594594594594595
24,24,0.004913997,1.311429e-09,0.054731533,0.0029955406,0.0,0.99612606,89,0.550561797752809
25,25,0.004690905,3.7245362e-10,0.057339817,0.0032878546,0.0,0.9974469,107,0.411214953271028
26,26,0.004751361,2.2786186e-09,0.04975443,0.0024755034,0.0,0.99772763,57,0.7894736842105263
27,27,0.004663888,2.4760989e-09,0.05284527,0.0027926224,0.0,0.9932063,86,0.7093023255813954
28,28,0.0045356657,5.1261537e-09,0.050086744,0.002508682,0.0,0.9977052,69,0.6521739130434783
29,29,0.0046574585,5.8165432e-09,0.05099167,0.0026001502,0.0,0.99875194,72,0.5833333333333334
30,30,0.0046702987,2.2113795e-09,0.05260051,0.0027668139,0.0,0.9968255,79,0.5949367088607594
31,31,0.0049433634,1.03994235e-08,0.050501782,0.0025504301,0.0,0.9952311,62,0.7419354838709677
32,32,0.004766876,3.947695e-09,0.05048823,0.0025490613,0.0,0.9990829,62,0.7903225806451613
33,33,0.0047739623,4.6620467e-09,0.04888229,0.0023894783,0.0,0.99641156,55,0.6181818181818182
34,34,0.005068569,2.071284e-09,0.05102213,0.0026032578,0.0,0.99768436,53,0.6037735849056604
35,35,0.0050153797,4.8576565e-09,0.054489173,0.0029690699,0.0,0.99790937,74,0.6216216216216216
36,36,0.0051274747,1.5311212e-10,0.057450097,0.0033005136,0.0,0.99974686,87,0.7471264367816092
37,37,0.005102352,3.1547245e-09,0.054058913,0.0029223661,0.0,0.9931504,65,0.7538461538461538
38,38,0.005170725,6.6933774e-09,0.054024592,0.0029186567,0.0,0.99724436,62,0.6774193548387096
39,39,0.0052558077,2.3025464e-08,0.05059295,0.0025596467,0.0,0.9949009,47,0.6808510638297872
40,40,0.0047736815,1.9445539e-09,0.05595675,0.0031311582,0.0,0.99941176,93,0.6989247311827957
41,41,0.0046409,2.4898135e-09,0.04712161,0.0022204462,0.0,0.9921621,55,0.5636363636363636
42,42,0.004342345,1.1266005e-09,0.045467272,0.0020672728,0.0,0.9986062,54,0.7592592592592593
43,43,0.004332204,3.1718883e-10,0.05162826,0.0026654776,0.0,0.9993003,100,0.64
44,44,0.004459661,6.5510637e-09,0.04655039,0.0021669387,0.0,0.9994346,56,0.75
