,unique_count_artefact_0,unique_count_artefact_1,unique_count_artefact_2,unique_count_artefact_3,unique_count_original_0,unique_count_original_1,unique_count_original_2,unique_count_original_3,non_unique_count_0,non_unique_count_1,non_unique_count_2,non_unique_count_3,artefact_count_0,artefact_count_1,artefact_count_2,artefact_count_3,original_count_0,original_count_1,original_count_2,original_count_3,match_count_0,match_count_1,match_count_2,match_count_3,superglue_subset_count_0,superglue_subset_count_1,superglue_subset_count_2,superglue_subset_count_3,superglue_subset_valid_count_0,superglue_subset_valid_count_1,superglue_subset_valid_count_2,superglue_subset_valid_count_3
0,52,27,59,23,27,42,31,46,64,116,58,104,116,143,117,127,91,158,89,150,64,116,58,104,50,80,39,54,36,40,28,19
1,52,21,53,26,23,32,25,37,67,102,55,101,119,123,108,127,90,134,80,140,67,102,55,103,18,63,18,24,13,29,10,12
2,48,19,54,17,18,31,20,34,56,90,56,100,104,109,110,117,74,121,75,135,56,91,56,101,15,73,24,61,13,36,15,32
3,45,27,74,21,21,30,30,36,71,117,59,117,116,144,133,138,89,147,88,155,71,117,59,119,40,98,36,43,26,43,24,14
4,31,19,40,16,6,15,15,25,41,67,34,66,72,86,74,82,47,82,49,91,41,67,34,66,8,49,20,42,5,27,14,30
5,42,32,51,23,17,30,16,39,69,105,57,110,111,137,108,133,85,135,73,149,69,105,57,110,32,78,52,51,16,42,34,14
6,42,29,43,17,17,19,15,17,31,70,27,64,73,99,70,81,47,88,42,81,31,70,27,64,16,37,13,27,11,26,7,18
7,48,19,73,31,15,28,17,31,56,113,56,123,104,132,129,154,71,141,73,155,56,113,56,124,29,76,15,72,15,32,10,32
8,30,23,50,17,15,31,20,29,44,80,42,92,74,103,92,109,58,111,62,122,44,80,42,93,11,27,15,49,4,19,12,23
9,54,29,74,27,16,34,26,26,57,129,51,146,111,158,125,173,73,163,77,172,57,129,51,147,32,79,22,72,18,30,6,18
10,40,26,42,21,21,25,15,32,37,77,38,81,77,103,80,102,58,102,53,113,37,77,38,81,24,35,16,35,14,20,11,20
11,38,25,59,27,16,29,19,31,53,129,62,143,91,154,121,170,69,158,81,176,53,129,62,146,31,39,16,49,17,17,12,19
12,31,24,54,25,18,36,23,35,47,96,42,117,78,120,96,142,65,132,65,152,47,96,42,117,28,50,17,41,17,22,14,15
13,46,33,57,26,21,27,19,32,42,124,44,141,88,157,101,167,62,151,62,172,42,124,44,141,30,94,21,97,24,34,16,34
14,27,21,42,22,16,21,16,29,31,82,32,76,58,103,74,98,47,103,48,105,31,82,32,76,20,70,17,28,12,36,11,9
15,43,33,47,27,16,38,17,43,45,113,43,103,88,146,90,130,61,152,60,146,45,114,43,104,10,62,13,48,6,33,6,22
16,39,33,46,26,22,26,18,36,48,82,37,87,87,115,83,113,70,108,55,123,48,82,37,87,36,30,20,50,20,16,15,20
17,20,14,29,15,15,28,10,18,20,53,22,56,40,67,51,71,34,80,31,74,20,53,22,56,7,22,8,26,6,15,4,14
18,48,25,65,25,27,26,21,42,64,121,67,133,112,146,132,158,91,146,88,175,64,121,67,133,27,101,30,95,19,44,17,41
19,58,25,66,25,26,36,25,67,46,104,35,94,104,129,101,119,72,140,60,161,46,104,35,94,21,61,11,60,10,34,6,29
20,34,27,48,30,24,26,19,31,44,67,33,95,78,94,81,125,68,93,52,126,44,67,33,95,19,34,17,46,15,23,13,21
21,20,17,32,8,8,20,9,25,25,47,21,40,45,64,53,48,33,67,30,65,25,47,21,40,9,42,8,20,8,21,4,8
22,29,27,48,23,14,38,15,42,34,62,27,56,63,89,75,79,48,100,42,98,34,62,27,56,12,28,5,28,6,20,3,18
23,29,27,48,21,18,14,13,20,23,69,24,61,52,96,72,82,41,82,37,82,23,69,24,62,17,28,11,35,7,18,5,15
24,32,30,50,28,18,28,15,31,47,103,46,124,79,133,96,152,64,131,61,155,47,103,46,124,21,91,15,97,11,46,6,33
